,Agency,Office,Location,Award Title,Award Description,NAICS,Value,Incumbent,SB,Release Date,Vehicle,Procurement Tracking Number
2646,Department of the Interior,National Park Service,DC,Database/Helpdesk BPA,CR database maintance and improvement,541511,501K to 1M,,Set-Aside Small Business - Total,,,28007
2678,Department of the Interior,National Park Service,DC,Insurance- Compliance Monitoring Support,New TO for Compliance Monitoring Support,541611,Below 150K,"NorthPort Affiliates, LLC",Small Business,,Pre-existing Contract Vehicle - Order - Indefinite Delivery Indefinite Quantity (IDIQ),27918
2679,Department of the Interior,National Park Service,DC,Business and environmental audit support,New TO for option year 1,541611,501K to 1M,Booz Allen Hamilton LLC,None - No Set-Aside Used,,Pre-existing Contract Vehicle - Order - MAS (Schedule),27919
2688,Department of the Interior,National Park Service,DC,AFR update,Get consultant/ accounting support to update the Annual Financial Reports,541611,150K to 250K,TBD,Small Business,,,27940
3211,General Services Administration,FAS-Federal Acquisition Service,DC,RISK CONTROL SELF ASSESSMENT (RCSA),"To provide non-personal services support including program management, transition services, RCSA program execution and maintenance, and training services required in the continued implementation of the risk control self assessment program for all Ginnie Mae Offices.",541611,5.1M to 10M,,None - No Set-Aside Used; To Be Determined,2021-07-23,Pre-existing Contract Vehicle - Contract Modification,26842
3231,General Services Administration,OIG-Office of Inspector General,DC,FY2022 FSA Audit Services,FY2022 FSA Audit Services,541211,10.1M to 20M,,None - No Set-Aside Used,,,26769
3242,General Services Administration,FAS-Federal Acquisition Service,DC,ID11210005- FMCOR Financial Management Support,"FMCOR Financial Management Support: This requirement is being issued by the General Services Administration (GSA) National Capital Region (NCR) on behalf of the Department of Housing of Urban Development (HUD), the Government National Mortgage Association (commonly referred to as “GNMA or Ginnie Mae”), and the Office of the Chief Financial Officer (OCFO) to acquire specialized accounting services to improve the agency’s financial management functions.  This requirement is being issued in accordance with FAR 8 in order to establish a single award contract, under a Schedule Holder of Special Item Numbers (SINs) 541219 and OLM, for a period not to exceed 5 years.",541219,Over 100M,ERNST & YOUNG LLP,To Be Determined,,Pre-existing Contract Vehicle - Order - MAS (Schedule),26761
3364,General Services Administration,FAS-Federal Acquisition Service,DC,Prevention of Sexual Abuse Audit,Office of Refugee Resettlement (ORR) is looking to acquire audit services conducted by an entity or individual with relevant auditing or evaluation experience and is external to ORR. The entity/individual will be responsible for providing ORR with both individual audit reports and aggregate data from the audit findings.,541611,10.1M to 20M,,None - No Set-Aside Used,2022-04-22,Pre-existing Contract Vehicle - Order - MAS (Schedule),26458
3433,General Services Administration,CFO-Chief Financial Officer,DC,Payment Recapture Audit,Auditing for Improper Payments and recovery that fund back to GSA,541611,2.1M to 5M,,None - No Set-Aside Used,,,26344
3674,Department of the Interior,U.S. Geological Survey,VA,AUDITING SERVICES,Contracts - Professional Services - ERP External Audit Contract with Neptune and Company,541990,501K to 1M,,To Be Determined,,To Be Determined,23550
3679,Department of the Interior,U.S. Geological Survey,VA,DATALOGGER / DATA RECORDER,"Equipment - Data Loggers, iButtons, Sensors, Tags, Etc for Multiple CRU's",541990,Below 150K,,To Be Determined,,To Be Determined,23696
3681,Department of the Interior,U.S. Geological Survey,VA,DATALOGGER / DATA RECORDER,Equipment - 9 Onset Hobo/3 TBD/1 In Situ/2 Turner Designs,541990,Below 150K,,To Be Determined,,To Be Determined,23694
3942,Department of the Interior,U.S. Geological Survey,VA,IT/TELECOM DATA CENTERS & STORAGE SERVICES,Repairs & Maintenance - IT Equipment & Software - Cloud Hosting Solutions (CHS) Hardware,541990,Below 150K,,To Be Determined,,To Be Determined,24192
4425,Department of the Interior,U.S. Geological Survey,VA,SOFTWARE LICENSE RENEWAL WITHOUT UPGRADE / MAINT.,Software Rental - Information Technology - Data-At-Rest,541990,Below 150K,,To Be Determined,,To Be Determined,24552
5292,Department of the Interior,CIO-Office of the Chief Information Officer,DC,Financial PM Support for the BOD,Financial PM Support for the BOD,541611,470000.00,,Set-aside - Total Small Business,,,18444
5927,Department of the Interior,Bureau of Safety and Environmental Enforcement,VA,Finance Support,Admin/Finance support for Finance Division,541219,251K to 500K,,None - No Set-Aside Used,,To Be Determined,29120
6321,General Services Administration,OGP-Office of Government-wide Policy,DC,Strategic Management Support for Federal Mission Support Standards,Strategic Management Support for Federal Mission Support Standards,541618,Below 150K,,None - No Set-Aside Used,2021-12-01,To Be Determined,31623
6740,Department of the Interior,U.S. Geological Survey,VA,"Planning Requirement of New Award in the Amount of $600,000.00","(UII Code: 010-000002546) IPDS The Information Products Data System (IPDS) operates bureau-wide to document compliancewith Fundamental Science Practices and review and approval of science products. Well over 10,000 products are recorded in IPDS yearly. The FY 2022 costs for IPDS were calculated from a 3-year average of each centers IPDS usage during FY 2018-2020. This funding will maintainthe existing functionality of IPDS and will allow for upgrades and enhancements to be made to the system.",541990,501K to 1M,To Be Determined,To Be Determined,,To Be Determined,30971
6749,Department of the Interior,U.S. Geological Survey,VA,IT & Telecom Professional Services-Offc of Acct and Financial Mgt,Oracle BASIS+ Technical Support,541990,501K to 1M,To Be Determined,To Be Determined,,To Be Determined,30729
6941,Department of the Interior,U.S. Geological Survey,VA,Professional Services-Office of Assoc Director for Water,"NCAR Administrative Task Order - contract oversight,  position description development, project management, budget development",541611,251K to 500K,To Be Determined,To Be Determined,,To Be Determined,30628
7178,Department of Labor,Mine Saferty and Health Administration - MSHA,VA,"V3GATE, LLC","Contract for Oracle Data Integrator Enterprise Edition in the amount of $78,011.00 for a base and four (4) options.",541511,Below 150K,,None - No Set-Aside Used,,TBD,30075
7183,Department of Labor,Mine Saferty and Health Administration - MSHA,VA,"ImmixTechnology, Inc",508 compliance tool/Testing Branch Good for versions 2019 & 2020,541511,Below 150K,,None - No Set-Aside Used,,TBD,30086
7521,Department of Labor,Bureau of Labor Statistics,DC,Address List Data,Data Purchase to Support BLS Programs,541990,150K to 250K,,To Be Determined,,To Be Determined,29328
7526,Department of Labor,Bureau of Labor Statistics,DC,Warehouse Construction Building Data,Data Purchase to Support BLS Programs,541990,Below 150K,,To Be Determined,,To Be Determined,29333
7604,General Services Administration,FAS-Federal Acquisition Service,DC,Enterprise Risk Management (ERM) Program,"Enhancement, administration and execution of its Enterprise Risk Management (ERM) Program",541611,2.1M to 5M,,None - No Set-Aside Used,,,27141
8023,Department of the Interior,National Park Service,VA,IRAD - Microsoft Azure,"010-000002506 --- Subscription Renewal & Marketplace for Data Center NPS Cloud Hosting I ( Azure Backup and Recovery Services Vaults, Azure Virtual Network, Azure Monitor (Security), Azure Network Watcher, General Azure Core Services)",541990,501K to 1M,,Mandatory Source,,,28234
8025,Department of the Interior,National Park Service,VA,IRAD - Network Equipment Replacement (FY21 AQD Processsed),010-000002506 --- Replacement of Data Center EOL Network Hardware,541990,251K to 500K,,None - No Set-Aside Used,,,28240
8191,Department of the Interior,National Park Service,DC,ORM- Risk Assessment BPA,Risk Assessment BPA completion,541611,1.1M to 2M,,Small Business,,Pre-existing Contract Vehicle - Blanket Purchase Agreement-BPA - MAS (Schedule),27896
8598,General Services Administration,FAS-Federal Acquisition Service,DC,Third Party/Vendor Risk Management Program,Third Party/Vendor Risk Management Program,541219,5.1M to 10M,,None - No Set-Aside Used,,,27044
8599,General Services Administration,FAS-Federal Acquisition Service,DC,GNMA BPA Call #11 - Risk Based Training,GNMA BPA Call #11 - Risk Based Training,541611,150K to 250K,,None - No Set-Aside Used,,,27045
8600,General Services Administration,FAS-Office of Assisted Acquisition Services,DC,GNMA BPA Call #10 - Financial Statement Review Recompete,GNMA BPA Call #10 - Financial Statement Review Recompete,541611,2.1M to 5M,,Mandatory Source,,,27043
8601,General Services Administration,FAS-Office of Assisted Acquisition Services,DC,GNMA BPA Call #08 - MSS Risk Management Support,GNMA BPA Call #08 - MSS Risk Management Support,541611,1.1M to 2M,,None - No Set-Aside Used,,,27042
8609,General Services Administration,CFO-Chief Financial Officer,DC,Gartner Risk Management,The purpose of this acquisition is for Risk Management Leadership Council membership with Gartner Inc.,541611,Below 150K,"Gartner, Inc.",None - No Set-Aside Used,2021-08-16,,27006
8701,General Services Administration,FAS-Federal Acquisition Service,DC,ADVISORY AND ASSISTANCE SERVICES for FINANCIAL SYSTEMS TECHNOLOGY  SUPPORT & MODERNIZATION,ADVISORY AND ASSISTANCE SERVICES for GINNIE MAE  FINANCIAL SYSTEMS TECHNOLOGY  SUPPORT & MODERNIZATION,541511,5.1M to 10M,,None - No Set-Aside Used,,,26758
9118,Department of the Interior,U.S. Geological Survey,VA,AUDITING SERVICES,Contracts - Professional Services - ERP External Audit Contract with Neptune and Company,541990,501K to 1M,,To Be Determined,,To Be Determined,23551
9263,Department of the Interior,U.S. Geological Survey,VA,GEOSPATIAL-SATELLITE DATA IT SUPPLIES & MATERIALS,Geospatial Satellite Data - Google Earth Engine,541990,Below 150K,,To Be Determined,,To Be Determined,23830
9332,Department of the Interior,U.S. Geological Survey,VA,INFORMATION TECHNOLOGY - PROFESSIONAL SERVICES,Professional Services - Federal Geographic Data Committee Program Managemetn and Technical Support,541990,Below 150K,,To Be Determined,,To Be Determined,23907
9370,Department of the Interior,U.S. Geological Survey,VA,IT/TELECOM DATA CENTERS & STORAGE SERVICES,"Repairs & Maintenance - IT Equipment & Software - Secure Sensor Management, Hardware",541990,Below 150K,,To Be Determined,,To Be Determined,24193
9500,Department of the Interior,U.S. Geological Survey,VA,IT PRO SVCS - PROGRAM/PLANNING MANAGEMENT FEDERAL,Information Technology & Telecom Professional Services - Data Tracking System (DTS) Support from FWS,541990,Below 150K,,To Be Determined,,To Be Determined,24087
9838,Department of the Interior,U.S. Geological Survey,VA,R&D / OTHER R&D - ADP SERVICES BASIC RESEARCH,Contracts - ADP Services - Funds for unexpected requests for lidar surveys data or experimental pilot surveys,541990,150K to 250K,,To Be Determined,,To Be Determined,24456
10185,Department of the Interior,National Park Service,DC,NCAO Tract 114-110 FCPA Exchange Closing/Title Policy,NCAO Tract 114-110 FCPA Exchange Closing/Title Policy,541611,150K to 250K,,Small Business,,,23049
11019,U.S. Office of Personnel Management,HI/Healthcare & Insurance,DC,HI Sampling and Estimation Methodology Plan (S&EMP) and Consultation,"In support of this mission, OPM/Health and Insurance (HI) require a statistician to provide statistical support services which include a sampling and estimation methodology plan (S&EMP) for the FEHB Program to ensure OPM/HI’s compliance with the Payment Integrity Information Act of 2019 (PIIA) and OMB Circular A- 123, Appendix C, Requirements for Effective Measurement and Remediation of Improper Payments.",541611,150K to 250K,,To Be Determined,,Pre-existing Contract Vehicle - Order - MAS (Schedule),33047
366,HHS,CTP,MD,In Silico Tox Databases and Comp Tox Software,Acquisition of computational software products through multiple contracts,541990,> $25K and < $250K,,TBD,,,CTP-20-C-0268
534,HHS,ACF,DC,Program and Technical Support of the Title IV-E Foster Care Eligibility Reviews and National Youth in Transition Database Reviews (IVE/NYTD),Program and Technical Support of the Title IV-E Foster Care Eligibility Reviews and National Youth in Transition Database Reviews,541611,>= $7M and < $13M,JBS International,,,,
747,HHS,ACF,DC,NAS Child Poverty Research,"The purpose of this contract is to support an ad hoc committee, formed under the auspices of the National Academies of Sciences, Engineering, and Medicine (NASEM), in conducting a consensus study to provide an evidence-based analysis of and recommendations for policies and programs to reduce intergenerational poverty and improve child welfare. Key tasks include (1) establishing and convening the committee and (2) drafting, reviewing, publishing, and disseminating a report that summarizes the committeeâ€™s findings. Period of Performance is 30 months.",541611,>= $700K and < $1.5M,,,2021.0,,
833,HHS,OIMT,MD,SciFinder,"Procure enterprise wide access to several Chemical Abstracts Service databases, including Chemical Abstracts, RegistUsers mry, CASREACT, CHEMLIST, and CHEMCAT.",541990,>= $250K and < $700K,,TBD,,,OIMT-20-C-0175
936,HHS,ORA,MD,Access to Accurint database (Lexis Nexus) - New requirement - Base and 4.,Access to Accurint database (Lexis Nexus) - OCI requires a new contract. Base and Four Optional Periods,541990,> $25K and < $250K,,,2021.0,,ORA-21-C-0293
1029,HHS,IHS,MD,New Grantees Kick-Off Meeting,New Grantees Kick-Off Meeting and virtual annual meetings,541990,>= $250K and < $700K,,TBD,2021.0,,
1804,HHS,CDER,MD,Scientific Computer and software support/cloud,"It is critical to equip OND staff with advance computers to run complex programs with this fund. It will also help with software/hardware a needs to maintain and support the review process including Tableau, R, Shiny,dragon professional, etc. newer software programs which are pre-loaded on the scientific computers and ready to use. JMP Pro licenses will be used to develop, implement, and support the advanced analyses of neuroscience, neurobiology, and psychiatry data to include artificial intell",541511,> $25K and < $250K,,Full and Open,,,CDER-20-C-0074
1880,HHS,ACF,DC,Understanding Financial Literacy Interventions,"This contract will provide the technical and substantive expertise required to conduct a descriptive study of financial capability interventions within employment-related programs for low-income adults. Key project tasks include data collection of employment and training programs, data analysis, study reporting, and topical briefs",541611,>= $250K and < $700K,,,2021.0,,
1899,HHS,IHS,MD,PRC- Fiscal Intermediary Contract,PRC- Fiscal Intermediary Contract,541990,> $10K and <= $25K,,TBD,2020.0,,
2035,HHS,IHS,MD,Infection control and prevention,Infection control and prevention - Training and Skills to improve accreditation compliance,541990,> $25K and < $250K,,TBD,2021.0,,
2167,HHS,OIMT,MD,Mobile App Vetting Solution Re-Bid,The FDA Mobility Team intends to leverage a Mobile App Vetting (MAV) Solution to help the Mobility Team to both enable productivity and reduce risk through the adoption of modern-enterprise mobile security practices. The FDA intends to use the MAV solution to pre-vet apps prior to making them available to users in the CYOD program. The FDA also intends to verify updates to those apps. The tool must have enough information to make an informed determination on the risks inherent in an App.,541618,>= $250K and < $700K,,TBD,,,OIMT-20-C-0006
2401,HHS,CDER,MD,Modernize New Drug Regulatory and Safety Program,"Establish workflow management system for IND review to include case mgmt, master data mgmt, data warehousing/reporting, review template development, and more",541511,>= $3M and < $7M,,Fair Opportunity (for orders under existing contracts),,,CDER-20-C-0098
2537,HHS,OIMT,MD,Wall Street Journal Online,"Online access to the WSJ full-text for 250 users. The WSJ online provides coverage of breaking news and current headlines from the US and around the world. It includes top stories, photos, videos, detailed analysis and in-depth reporting on health policy and business areas regulated by the FDA.",541990,> $25K and < $250K,,TBD,,,OIMT-20-C-0178
2791,HHS,IHS,MD,DBH - Community Opioid Intervention Pilot Projects (COIPP) program technical assistance contract for an estimate of 33 grantees and 5-10 federal facilities needing intensive TA.,DBH - Community Opioid Intervention Pilot Projects (COIPP) program technical assistance contract for an estimate of 33 grantees and 5-10 federal facilities needing intensive TA.,541990,>= $700K and < $1.5M,,TBD,2021.0,,
106,DOT,"VOLPE - Volpe, The National Transportation Systems Center",,,"This procurement request is for support on ""commercializing the SBIR product or process,” per the SBA SBIR Policy Direction (Section 9(b)(1)(i)(D), in order to support DOT SBIR awardees in developing their commercialization strategy and plan for Phase I and Phase II awards.The service provided for Phase I awardees must focus on the commercialization potential of the research and the development of the commercialization strategy plan and supporting documentation for the Phase II proposal. The service provided for Phase II awardees must focus on the implementation of the commercialization strategy and the development of commercialization plans as defined in the contract. The Policy Directive allows DOT to provide up to $5,000 of SBIR funds for the technical assistance per year for each Phase I award and each Phase II award.",541611,,,Small Business Set-Aside,1st QTR,,DTRT-RVT-91-1135
115,DOT,FHWA - Washington DC / Office of Contracts and Procurement,,,"The Contractor will support FHWA in the planning, development, delivery, and documentation of its freight data, modeling, and analytics activities. Such activities will assist FHWA in compiling and analyzing user inputs to support future FHWA data tool updates; building capabilities among users to extract maximum value from the data; and in communicating freight data analysis results to the public or other target audiences.",541990,"$700,000 to $2 million",,Full and Open,1st QTR,,2020-174
125,DOT,FHWA - Washington DC / Office of Contracts and Procurement,,,"The Federal Highway Administration (FHWA) Office of Innovative Program Delivery (OIPD) was created to improve transportation performance by driving innovation into action through partnerships, technology deployment, and capacity building. OIPD works across FHWA to develop or align capacity building, technical support, and guidance to bring forward and accelerate the implementation of innovative designs, materials, construction and environmental techniques and practices, finance and revenue tools, public-private partnerships, and transportation workforce development practices and resources to help FHWA's partners meet the needs of a 21st century transportation system.Through an Indefinite delivery, indefinite quantity (IDIQ) contract, the Contractor shall perform services to support, assist, and facilitate the advancement of innovation through deployment, technology transfer, outreach and communication, training, technical support and assistance, monitoring and evaluation, data analysis, documentation and reporting. ",541990,,,Full and Open,1st QTR,,2018-007
130,DOT,FTA - Washington DC Office,,,"FTA’s Financial Management Oversight Program:  Professional CPA firms to provide professional financial advisory services for the FMO program as authorized by 49 U.S.C. 5327(c) to selected grantees’ (transit agencies) financial management systems.   Contractor shall provide expertise to assist with the conducting of FMO reviews and assessments, including: (Full scope Financial management System Reviews; (2) followup to Full Scope Financial Management System Reviews; (3) Cost Allocation Plan reviews (CAP reviews); and (4) other Agreed-Upon Procedures.  Other tasks include Updating Financial Management Oversight Resource Manual, FMO training, and program reports.",541211,,,8(a) Competitive,1st QTR,,0004
140,DOT,FTA - Washington DC Office,,,The Federal Transit Administration (FTA) which is an Operating Administration within the United States (U.S.) Department of Transportation (DOT) is seeking contractor support to provide clandestine review and inspection services to regarding the efforts of the drug and alcohol testing programs of FTA regulated grantees and th FTA drug and alcohol audit program as required by 49 Code of Federal Regulation (CFR) Part 655.,541611,$2 million to $5 million,,Small Business Set-Aside,1st QTR,,
164,DOT,NHTSA - Office of Acquisition Management,,,Develop curriculum for EMS & managers to utilize aggregate clinical data.  EMS Data Entry and Analysis Education.,541611,,,8(a) Competitive,1st QTR,,NPD-17-007
170,DOT,OST - Washington DC Office,,,Provide compliance monitoring- support for continued monitoring compliance,541511,,,Small Business Set-Aside,1st QTR,,OST 011 CIO
182,DOT,FHWA - Washington DC / Office of Contracts and Procurement,,FHWA HTF Grant Accrual Services,FHWA HTF Grant Accrual Services,541611,"$250,000 to $700,000",DJ Business Solutions/ 693JJ318P000134,8(a) non-competitive,1st QTR,,2022-163
195,DOT,FTA - Washington DC Office,,,"The Federal Transit Administration (FTA) is seeking contractor support services to conduct compliance reviews for Title VI, Title VII (EEO) and Disadvantaged Business Enterprise (DBE) Programs/DBE Unified Certification Programs and assist with preparation of in-depth corresponding reports detailing areas where the recipients have conformed or are noncompliant with DOT regulations and requirements.  The compliance reviews involve elements of operations and oversight, and review and analysis of policies and practices.  We anticipate awarding multiple Indefinite Delivery, Indefinite Quantity (IDIQ) contracts for these services with allowance of Firm-Fixed Price (FFP) and Labor Hour awarded task orders.",541611,$2 million to $5 million,,Small Business Set-Aside,1st QTR,,
214,DOT,"VOLPE - Volpe, The National Transportation Systems Center",,,"The Volpe Center will provide support to the FAA to procure the needed Capital Investment Analysis Support(CIAS) resources.  The Volpe Center intends to make multiple small business set-aside award task order contracts.  This new contract will contribute towards achieving the Volpe Center’s Small Business goals.  The FAA’s Capital Budgets Division of the Acquisitions & Business Services Organization is responsible for business and financial management oversight of the FAA’s Facilities and Equipment appropriation, and the FAA’s Research, Engineering, and Development (R,E&D) appropriation.  Historically, because of the significant volume of financial and business management activities and transactions associated with 200+ ongoing capital and research programs, the Capital Budgets Division has utilized the services of support contractors to assist the organization in accomplishing its organizational mission.",541611,,,Small Business Set-Aside,1st QTR,,V3441058
216,DOT,FHWA - Washington DC / Office of Contracts and Procurement,,RAISE-BUILD Program Support Services,"RAISE-BUILD Grant Program day to day support services.

 ",541611,"$250,000 to $700,000",,Full and Open,1st QTR,,2022-085
220,DOT,FTA - Washington DC Office,,,"The Federal Transit Administration (FTA) which is an Operating Administration within the United States (U.S.) Department of Transportation (DOT) is seeking contractor support services concerning assistance with financial statement preparation and support services for the grant accrual estimation and validation process.  Contractor support services which the FTA seeks to procure via this requirement will assist FTA in terms of assisting with ensuring compliance with policies mandated by the Chief Financial Officer (CFO), and support the accelerated due dates for agency submission of unaudited financial statements and related packages imposed by U.S. DOT Office of the Secretary (OST), Office of Management and Budget (OMB), and U.S. Department of Treasury.  This effort will assist in ensuring that FTA can submit all required financial statements in a timely manner.  ",541611,"$700,000 to $2 million",,Small Business Set-Aside,1st QTR,,
236,DOT,"VOLPE - Volpe, The National Transportation Systems Center",,,"The Volpe Center will provide support to the FAA to procure the needed Capital Investment Analysis Support(CIAS) resources. The FAA’s Capital Budgets Division of the Acquisitions & Business Services Organization is responsible for business and financial management oversight of the FAA’s Facilities and Equipment appropriation, and the FAA’s Research, Engineering, and Development (R,E&D) appropriation.  Historically, because of the significant volume of financial and business management activities and transactions associated with 200+ ongoing capital and research programs, the Capital Budgets Division has utilized the services of support contractors to assist the organization in accomplishing its organizational mission.   The Volpe Center intends to award multiple Small Business set-aside task order contracts for services.",541611,,,Small Business Set-Aside,1st QTR,,V3441058
244,DOT,FTA - Washington DC Office,,,"The Federal Transit Administration (FTA) which is an Operating Administration within the United States (U.S.) Department of Transportation (DOT) is seeking contractor support to assist with procurement system reviews (PSRs) concerning recipients of various sizes as further described in the attached Statement of Work (SOW).  The objectives of the PSR is to examine how recipients of FTA funds comply with statutory and administrative requirements for procurement, especially those that are included in the Annual certifications and Assurances submitted by recipients.  The PSR examines various elements to determine if FTA recipients are meeting FTA procurement requirements and to identify corrective actions if a recipient is not meeting the requirements.  In addition to helping evaluate recipients, the review gives FTA an opportunity to provide current information to recipients on the latest FTA procurement requirements and assists FTA in reporting to the Secretary, Congress, other oversight agencies (DOT Office of Inspector General) and the transit community.",541611,$5 million to $10 million,,Small Business Set-Aside,1st QTR,,
260,DOT,FTA - Washington DC Office,,,"The Federal Transit Administration (FTA) is seeking contractor support services to conduct compliance reviews for Title VI, Title VII (EEO) and Disadvantaged Business Enterprise (DBE) Programs/DBE Unified Certification Programs and assist with preparation of in-depth corresponding reports detailing areas where the recipients have conformed or are noncompliant with DOT regulations and requirements. The compliance reviews involve elements of operations and oversight, and review and analysis of policies and practices. We anticipate awarding multiple Indefinite Delivery, Indefinite Quantity (IDIQ) contracts for these services with allowance of Firm-Fixed Price (FFP) and Labor Hour awarded task orders.",541611,$2 million to $5 million,,Small Business Set-Aside,1st QTR,,FTA 2021-01
261,DOT,FMCSA - District of Columbia,,Analysis of the Motor Carrier Self-Insurance Program,"To ensure proper oversight and protection of the public’s interest, the contractor shall provide consulting services by analyzing financial positions and monitoring compliance with the Motor Carrier Self-Insurance Program.",541611,$2 million to $5 million,,Woman Owned Small Business,1st QTR,,MC-2022-01
269,DOT,PHMSA - Washington DC Office,,,Oil Spill Response Plan Program (OSRP) Management and Regulator Analysis Support.  The contracted program management staff will maintain the repository of approximately 530 OSRPs and facilitate the review process using SharePoint tools from submission through disposition.  The regulatory response analysis support staff will conduct initial reviews of OSRP to identify required information in an oil spill response plan in accordance with 49 CFR Part 194 as well as conduct analysis of reviews and inspections to identify non-compliance trends with Part 194.,541990,,,To be determined,1st QTR,,
270,DOT,,,,"Technical Support and Assistance to FHWA’s National Household Travel Survey (NHTS) National Core, State DOTs and MPOs Add-On Program This is to seek technical assistance and support to the NHTS program covering special data analysis, providing technical analytics to add-on partners, State DOTs and MPOs and the greater transportation community. Specifically, the support and assistance coves data collection methods, strength and weakness of the data, how the 2017 data is different from past historical series, how to overcome methodology change caused shift in travel behavior, travel behavior data application in transportation demand modeling, travel behavior data in congestion and safety analysis. The technical support is also to support add-on partner knowledge sharing.    ",541618,,,Small Business Set-Aside,1st QTR,,2018-182_NHTS-FHWA_Technical support and Assistance MPOs Program
