,Agency,Office,Location,Award Title,Award Description,NAICS,Value,Incumbent,SB,Release Date,Vehicle,SetAside
15,USAID,Bureau for Humanitarian Assistance (BHA),Washington,"Support contract for Design, Monitoring, Evaluation, adaptative, and Learning (DMEAL) services","Short term technical assistance, capacity building, and evaluations services. ",,$10M - $24.99M,,TBD,12/05/2022,To be determined,0
16,USAID,Bureau for Humanitarian Assistance (BHA),Washington,Technical Writer Services,Technical Writer Services.,,"$150,000 - $499,999",,TBD,3/31/2022,To be determined,0
17,USAID,Bureau for Latin America and the Caribbean (LAC),Washington,New Higher Education - TBD,"The LAC/RSD New Higher Education addendum under the APS No.7200AA20APS00009 Higher Education for Leadership, Innovation, and Exchange (HELIX) will provide scholarships to youth from marginalized populations who are planning to pursue post-secondary education. The overall goal of the activity is to improve youth access to and completion of labor-market relevant degrees or certification, and to increase employability of marginalized youth in appropriate growth sectors (to be assessed intermittently). The program will feature a focus on both human and institutional capacity development through a two-fold approach: 1) provision of scholarships for students to attend selected local (LAC region) Higher Education institutions (HEIs), including wrap-around support services to assist them to enter and succeed in the formal labor market, and 2) the strengthening of institutional capacity of select HEIs in provision of student support services and private sector engagement with the goal of better serving targeted student populations beyond the scope of the USAID award.  Focus countries in Latin America and the Caribbean are to be determined, however, priority will be given to lower-income countries where USAID has investments and/or a presence.",,$10M - $24.99M,,,5/02/2022,,TBD
18,USAID,Bureau for Latin America and the Caribbean (LAC),Washington,New LAC Regional Higher Education Scholarship Program,LAC Regional HE Scholarships Program (Addendum to be issued under HELIX APS),,$25M - $49.99M,,,5/02/2022,0,HELIX APS applicants
19,USAID,Bureau for Resilience and Food Security (RFS),Washington,Advancing Food Fortification Opportunities to Reinforce Diets (AFFORD),"USAID seeks to implement an activity to safely and sustainably reduce micronutrient inadequacies and improve diets, particularly for women and children, through LSFF of staple foods and condiments. USAID AFFORD will achieve this goal by 1) strengthening and extending the enabling environment and regulatory monitoring and enforcement of LSFF through the public sector; 2) expanding and sustaining LSFF, in compliance with national fortification standards, by the private sector; 3) strengthening the design, monitoring and evaluation of fortification programs, and holding the public and private sectors accountable through civil society; and 4) garnering and mobilizing global commitment, leadership and resources to scale LSFF.",,$50M - $99.99M,,,3/11/2022,none,TBD
20,USAID,Bureau for Resilience and Food Security (RFS),Washington,Climate Adaptation Support Activity ,,,$25M - $49.99M,Chemonics International Inc. ,TBD,3/14/2022,OASIS ,OASIS Unrestricted Pool 1
21,USAID,Bureau for Resilience and Food Security (RFS),Washington,Green Recovery Investment Platform (GRIP),"USAID is conducting market research to determine the most suitable acquisition strategy for an anticipated activity tentatively titled Green Recovery Investment Platform (GRIP). In the new activity, USAID seeks to mobilize finance for climate change mitigation and adaptation, clean energy transition, and nature-based solutions to increase the resilience of development outcomes across the sectors in which USAID works. GRIP will support environmentally sustainable, inclusive economic growth that contributes to COVID-19 recovery. 

",,$100M - $299.99M,,TBD,3/31/2022,None,TBD
22,USAID,Bureau for Resilience and Food Security (RFS),Washington,RFS Evidence Aggregation for Programmatic Approaches(REAPER II),"RFS Evidence Aggregation for Programmatic Approaches. The REAPER 2 mechanism would support the aggregation and synthesis of the existing evidence base underpinning the specific programmatic approaches promoted by RFS as well as creating other knowledge products. This effort would leverage, to the fullest extent possible, existing evidence aggregation and synthesis work, including work done under REAPER 1. ",,$10M - $24.99M,TBD,,6/15/2022,TBD,TBD
23,USAID,Bureau for Resilience and Food Security (RFS),Washington,The SERVIR Support Team 2,,,$10M - $24.99M,Chemonics,Small Disadvantaged Business set-aside,4/15/2022,OASIS Pool 1,na
24,USAID,"Center for Environment, Energy, and Infrastructure (DDI/EEI)",Washington,DDI/EEI - Advancing Capacity for the Environment (ACE),"The Advancing Capacity for the Environment (ACE) program will support USAID’s ability to plan, implement, and communicate effective programming in the climate change, biodiversity, environment, energy, and infrastructure sectors. The program will primarily focus on providing communications, knowledge management, training, and organizational development services for EEI.",,$25M - $49.99M,,,3/03/2022,OASIS Pool 1 Unrestricted,937
25,USAID,"Center for Environment, Energy, and Infrastructure (DDI/EEI)",Washington,DDI/EEI/BE/GC - New Green Cities mechanism,"USAID's Green Cities Division in the Center for Environment, Energy, and Infrastructure (EEI) in USAID's Bureau for Development, Democracy, and Innovation (DDI) supports expanded Agency programming across multiple sectors for sustainable urban development, including growing portfolios on reducing ocean plastic pollution, promoting a circular economy, improving air quality, and accelerating the transition to resilient and net zero cities. The Division’s new “Green Cities” mechanism will foster healthy, prosperous, and resilient cities for all people and the planet. Through this broad, flexible global support mechanism, USAID will fill critical gaps in our partner countries’ ability to tackle complex urban challenges and the climate crisis. Green Cities will promote inclusive urban development by addressing the interconnected crises of climate change, pollution, biodiversity, and inequality. The mechanism will draw on unique, external expertise to modernize and scale USAID’s urban programs, and enable USAID to invest in “green city” strategies to advance five critical urban transformations: net-zero systems; urban resilience; circular economy; equitable service delivery; and green industry and jobs.",,$50M - $99.99M,,,2/23/2022,OASIS Pool 1,TBD
26,USAID,"Center for Environment, Energy, and Infrastructure (DDI/EEI)",Washington,DDI/EEI/E: Energy IDIQ III,DDI/EEI/E: Energy IDIQ III: This IDIQ Contract will serve as the USAID’s global principal contracting mechanism available to all USAID operating units to implement a variety of energy sector programs with broad categories of  USAID implementing partners.,,$1B - $1.49B,Multiple Awardees ,Partial set-aside,2/21/2023,TBD,Small business reserve 
27,USAID,Inclusive Development Hub (DDI/ID),Washington,DDI/ID - Inclusive Development Activity for Mission Support (IDAMS),"DDI/ID Request for Information #7200AA22RFI00023 issued to the EVAL-ME II IDIQ contract holders on 1/25/22.  USAID has identified the EVAL-ME II IDIQ contract instrument to issue a Request for Task Order Proposals for direct technical assistance required for Mission support, and is developing a Leader with Associate Awards agreement for the capacity-building and grant making required to local organizations (See AA-319549). The proposed acquisition mechanism will help missions and DC-based operating units to better engage and support marginalized and vulnerable groups (i.e., children in adversity, ethnic/religious minorities, Indigenous Peoples, LGBTI people, persons with disabilities, victims of torture and youth) in the development of their communities and countries. Operating Units will be able to access two categories of activities 1) learning and adaptation, 2) direct support for specific groups and topics (i.e., through organizational capacity building, small grants, and rapid response).

These mechanisms will address gaps missions have in assessing the needs of, engaging with, and supporting the priorities of marginalized and vulnerable groups around the world. As such, the proposed assistance mechanism is flexible, allows for rapid access for different operating units, and harnesses specialized technical knowledge to build the capacity and effectiveness of specialized groups working to advance USAID’s inclusive development objectives.

Theory of Change/Development Hypothesis: 
IF missions had access to and could buy into a mechanism designed to address their inclusive development analytical and programmatic needs, THEN they would be better positioned to turn their commitments to inclusive development into action.
",,$10M - $24.99M,,Total set-aside,4/15/2022,Category III,Limited to the holders of the EVAL-ME II IDIQ
28,USAID,Inclusive Development Hub (DDI/ID),Washington,DDI/ID Advancing Protection and Care for Children in Adversity (APCCA) Alliance APS,"The APCCA Alliance activity will further the three objectives of the APCCA Strategy  (https://www.childreninadversity.gov/) to benefit the world’s most-vulnerable children. USAID anticipates issuing an umbrella Annual Program Statement (APS) for the APCCA Alliance and releasing Addenda to the APS which will describe more focused calls for concept notes. The Addenda may describe a specific geographic focus, a focused program description, and any partnership priorities. The umbrella APS will not be supported by specific funds; rather, the APS represents the framework through which funded Addenda released under the APS will be constructed. Any resultant award(s) are expected to be assistance award(s) (i.e., grant or cooperative agreement). USAID intends to post separate Business Forecast entries for each anticipated Addendum to be released under the APS. However, interested parties are advised to continually monitor Grants.gov for updates concerning this potential opportunity.",,$25M - $49.99M,,,4/01/2022,,Refer to a given Addendum for any restrictions
29,USAID,Inclusive Development Hub (DDI/ID),Washington,DDI/ID Sustainable Inclusive Development for Equity (SIDE),"DDI/ID Request for Information #7200AA22RFI00010 issued on Grants.gov 1/25/22 for the Sustainable Inclusive Development for Equity Activity LWA, for local organization capacity building, small grants and rapid response",,$25M - $49.99M,,,4/21/2022,,TBD
30,USAID,Office of Human Capital and Talent Management (HCTM),Washington,Human Resources Delivery and Transformation,"USAID requires contractor support that will help USAID in positioning its programs, structure, processes, and workforce to more effectively advance national security and support host country partners on their journey to self-reliance, as follows:

1. Transforming programs
2. Transforming structure  
3. Transforming processes  
4. Transforming the workforce  ",,$300M - $499.99M,,TBD,1/31/2022,HCATS ,
31,USAID,Private-Sector Engagement Hub (DDI/PSE),Washington,DDI/PSE_ Private Sector Engagement Modernization Institutional Support Contract (PSEMC) ,DDI/PSE_ New ISC mechanism ,541611.0,$50M - $99.99M,,,2/07/2022,GSA MAS,Any interested organizations within GSA schedule
32,USAID,Office of HIV/AIDS (GH/OHA),Washington,Analytics for Advancing Financial Sustainability of the HIV/AIDS Response (AFS) [EATAP II Follow-on],"As countries get closer to or have achieved HIV epidemic control, ensuring sustainability will require greater domestic functional and financial responsibility for elements of the HIV program.  HIV economic and financing data evidence is essential in informing this roadmap towards a sustainable response.  The goal of this project is to mobilize, align, and optimize donor, public, and private resources to adequately fund a sustainable HIV/AIDS response.  The purpose of this project is to strengthen strategic alignment and accountability across donor, public, and private resources to maximize efficiency, impact, and sustainability of the HIV/AIDS response.",,$25M - $49.99M,"AVENIR HEALTH FOR DEVELOPMENT, LLC",TBD,10/29/2021,TBD,TBD
33,USAID,Office of HIV/AIDS (GH/OHA),Washington,Global Health Risk and Capacity Mechanism (GHRC),"The primary objective of the mechanism is to provide partners and Missions support they need for success in working directly with local organizations across USAID/Global Health’s portfolio, building on the successes and lessons learned from PEPFAR’s local partner transition as well as other Localization efforts across the Agency. 
The mechanism will support identifying, treating and mitigating risks, provide effective and individualized capacity development support for programmatic and operational excellence, improve monitoring, evaluation and learning (MEL) and improve Missions’ ability to provide oversight and manage local partners",,$50M - $99.99M,,TBD,6/01/2022,TBD,TBD
34,USAID,Office of Infectious Disease (GH/ID),Washington,Localize Global Health Security (LGHS),"The purpose of the Localize Global Health Security Project (LGHS) is to support local partners to address gaps in health security including as identified in national health security capacity assessments. LGHS will complement the multisectoral, cross-technical approaches of other GHS programs to move focus countries closer to achieving the GHSA 2024 target.  As a result of this support, local partners will be able to:  1-Address identified gaps in the national health security efforts at sub-national and community levels;  2-Strengthen risk communication and community engagement, zoonotic diseases surveillance and response, national laboratory systems, emergency operations, and infection prevention and control (and other targeted interventions that address AMR); 3-Prepared to technically and managerially manage direct grants from Missions by the fourth year of the project.",,$50M - $99.99M,,,5/01/2022,TBD,TBD
35,USAID,Office of Infectious Disease (GH/ID),Washington,Prevention of Malaria through Vector Control,"To support implementation of proven, life-saving vector control interventions for malaria; the collection and analysis of entomological data as well as epidemiological, climate and other data as relevant to inform, monitor and evaluate strategic deployment of vector control interventions for malaria; strengthen the capacity of local governments, partners, and research institutions at various levels to lead, manage, and monitor activities; and support innovation in vector control interventions for malaria control.",541690.0,$750M - $999.99M,Abt Associates,TBD,4/18/2022,TBD,TBD
36,USAID,Office of Infectious Disease (GH/ID),Washington,Reaching every at-risk community and household with malaria services (REACH Malaria),"The purpose of this contract is to provide implementation support services and technical assistance to countries to accelerate progress in comprehensive delivery of facility and community-based malaria services, including malaria case management, prevention of malaria in pregnancy (MiP), seasonal malaria chemoprevention (SMC), health systems strengthening, data collection and use for service delivery, and other malaria prevention interventions.",,$100M - $299.99M,Population Services International,TBD,8/01/2022,TBD,TBD
37,USAID,Office of Infectious Disease (GH/ID),Washington,TB Local Organizations Network (LON) APS - Tuberculosis (TB) Program Integration of Mental Health Care to Improve Quality of TB Patient Care - Addendum 04,"The proposed activities will address programmatic challenges for integration of early identification, accurate diagnosis, and effective management of mental health (anxiety and depression) and substance use conditions into TB care.",,"$500,000 - $999,999",,,12/21/2018,,Local Entities
38,USAID,Office of Population & Reproductive Health (GH/PRH),Washington,PROPEL APS - Round 2 PROPEL Adapt - PEC/FY22,"Overall, the PROPEL APS (Promoting Results and Outcomes through Policy and Economic Levers) will focus on policy, advocacy, health financing and governance activities as well as technical assistance, and transition initiatives for family planning and reproductive health (FP/RH), and FP/RH integration with maternal health, HIV/AIDs and other health areas.  FP/RH integration across health, gender, youth, health equity, capacity development, and private sector engagement are all central to this APS.  For Round 2 - PROPEL Adapt - the specific focus will be on policy, advocacy, financing, and governance (PAFG) unique to fragile settings, including responses to country epidemics or global pandemics such as COVID-19. ",,$25M - $49.99M,,,3/31/2022,,TBD
39,USAID,Office of Population & Reproductive Health (GH/PRH),Washington,PROPEL APS - Round 3 PROPEL Youth - PEC/FY23,"Overall, the PROPEL APS (Promoting Results and Outcomes through Policy and Economic Levers) will focus on policy, advocacy, health financing and governance activities and technical assistance, and transition initiatives, for family planning and reproductive health (FP/RH), and FP/RH integration with maternal health, HIV/AIDs and other health areas.  Gender, youth, FP/RH integration across health, health equity, capacity development, and private sector engagement are all central to this APS.  For Round 3 - PROPEL Youth - the specific focus will be on policy, advocacy, financing, and governance (PAFG) related to youth and adolescents as well as gender equity. ",,$10M - $24.99M,,,7/31/2022,,TBD
40,USAID,Office of Population & Reproductive Health (GH/PRH),Washington,"PROPEL APS - Round 4 PROPEL Population, Health & Environment (PHE) - PEC/FY23","Overall, the PROPEL APS (Promoting Results and Outcomes through Policy and Economic Levers) will focus on policy, advocacy, health financing and governance activities and technical assistance, and transition initiatives, for family planning and reproductive health (FP/RH), and FP/RH integration with maternal health, HIV/AIDs and other health areas.  Gender, youth, FP/RH integration across health, health equity, capacity development, and private sector engagement are all central to this APS.  For Round 4 - PROPEL PHE - the specific focus will be on Population, Health and the Environment (PHE), and cross-sectoral approaches for integrating voluntary FP/RH and population dynamics across broader development sectors/goals.",,$10M - $24.99M,,,9/01/2022,,TBD
41,USAID,Office of the Assistant Administrator (GH/AA),Washington,NextGen Comprehensive Technical Assistance for Health Supply Chain and Pharmaceutical Management (CompTA),"The multiple-award IDIQ contract(s) will be part of the Next Generation Global Health Supply Chain Suite of Programs (NextGen). The contractor(s) will provide a comprehensive array of supply chain and pharmaceutical management technical assistance services that: strengthen national supply chain systems for better performance and sustainability; provide operational and technical support to increase access to health commodities; and improve pharmaceutical management systems, including pharmaceutical services, to ensure health impact is achieved. The contractor(s) will have the capability to provide direct operational and capacity development support to governments and other local institutions in technical areas related to supply chain, including: warehousing, distribution, quantification, forecasting, procurement, transportation, and information systems for health commodities; pharmaceutical services, including: cost-effective appropriate medicines use, antimicrobial stewardship, pharmacovigilance and patient safety, and other pharmacy practices; and cross-cutting and systems strengthening approaches as they relate to supply chain and pharmaceutical management, including: private sector engagement, stewardship, coordination, financing, governance, and human resources. The contractor(s) must coordinate with other NextGen awardees. Visit Next Generation Global Health Supply Chain  - https://www.usaid.gov/work-usaid/find-a-funding-opportunity/next-generation-global-health-supply-chain - for additional information.  The IDIQ will be issued on its own - RFTOPs will be issued after award (this is a change from the pre-solicitation where USAID considered including a RFTOP within the RFP - that will not take place).",541611.0,$2B - $2.49B,,Partial set-aside,10/28/2021,TBD,TBD
42,USAID,Office of the Assistant Administrator (GH/AA),Washington,NextGen In-country Logistics (ICL),"The contract will be part of the Next Generation Global Health Supply Chain Suite of Programs (NextGen). The contractor will provide warehousing and transportation for USAID-funded health commodities after their initial delivery to procurement-defined destinations, in a manner that exemplifies commercial logistics best practices, promotes local logistics market health and, through the development of a relevant body of knowledge, accelerates host-government engagement with the private sector while improving performance, accountability and cost. This award will not procure any health commodities. The contractor must coordinate with other NextGen awardees. Visit Next Generation Global Health Supply Chain  - https://www.usaid.gov/work-usaid/find-a-funding-opportunity/next-generation-global-health-supply-chain - for additional information.",541614.0,$1B - $1.49B,,,4/01/2022,Not Applicable,TBD
43,USAID,Office of the Assistant Administrator (GH/AA),Washington,NextGen Procurement Service Agent - HIV (PSA HIV),"This contract will be part of the Next Generation Global Health Supply Chain Suite of Programs (NextGen). The PSA will provide procurement and associated supply chain services for HIV/AIDS health commodities excluding HIV/AIDS diagnostic and lab commodities encompassing the required procurement functions of a supply chain (e.g., category management, strategic sourcing, supplier management, demand planning and procurement delivery). The PSA will negotiate incoterms with vendors for delivery of commodities into country, and, in exceptional cases, procure logistics services for commodities purchased under this award to ensure timely delivery. The PSA must coordinate with other NextGen awardees. Visit Next Generation Global Health Supply Chain  - https://www.usaid.gov/work-usaid/find-a-funding-opportunity/next-generation-global-health-supply-chain - for additional information.",541614.0,$3B+,,TBD,3/30/2022,,TBD
44,USAID,Office of the Assistant Administrator (GH/AA),Washington,"NextGen Procurement Service Agent - Lab, Diagnostics, and Molecular (PSA Diagnostics)","This contract will be part of the Next Generation Global Health Supply Chain Suite of Programs (NextGen). The PSA will provide procurement and associated supply chain services for HIV/AIDS lab, diagnostic and molecular commodities encompassing different functions of a supply chain (e.g., category management, strategic sourcing, supplier management, demand planning and procurement). The PSA will negotiate incoterms with vendors for delivery of commodities into country, and, in exceptional cases, procure logistics services for commodities purchased under this award to ensure timely delivery. The PSA must coordinate with other NextGen awardees. Visit Next Generation Global Health Supply Chain  - https://www.usaid.gov/work-usaid/find-a-funding-opportunity/next-generation-global-health-supply-chain - for additional information.",541614.0,$2.5B - $2.79B,,TBD,3/30/2022,TBD,TBD
45,USAID,Office of the Assistant Administrator (GH/AA),Washington,"NextGen Procurement Service Agent- Malaria, Family Planning and Reproductive Health, Maternal and Child Health and Nutrition and Other Health Elements (""Integrated PSA"").”","This contract will be part of the Next Generation Global Health Supply Chain Suite of Programs. The PSA will provide procurement and supply chain services for malaria, family planning/reproductive health, maternal and child health and nutrition, and other health commodities.  It will encompass different services within the procurement as-a-service value chain (e.g., category management, strategic sourcing, supplier management, transactional procurement and demand planning).  The PSA will be expected to have a robust information system to support operations and performance improvement.  The PSA will negotiate incoterms with vendors for delivery of commodities to country, and, as needed, provide freight and warehousing for commodities purchased under this award.  The PSA must coordinate with other NextGen awardees. Visit Next Generation Global Health Supply Chain - https://www.usaid.gov/work-usaid/find-a-funding-opportunity/next-generation-global-health-supply-chain - for additional information.""",,$3B+,,TBD,2/28/2022,TBD,TBD
46,USAID,Office of the Assistant Administrator (GH/AA),Washington,NextGen Qualifying Testing Issuing (QuTI) Award,This contract will be part of the Next Generation Global Health Supply Chain Suite of Programs (NextGen). The contractor will serve as the primary vehicle through which USAID will help assure the quality of health commodities procured in support of global health programs under NextGen. The contractor must coordinate with other NextGen awardees. Visit Next Generation Global Health Supply Chain  - https://www.usaid.gov/work-usaid/find-a-funding-opportunity/next-generation-global-health-supply-chain - for additional information.,541380.0,$100M - $299.99M,,TBD,4/18/2022,TBD,TBD
47,USAID,Office of the Assistant Administrator (GH/AA),Washington,NextGen Strategic Risk Management,The contract will be part of the Next Generation Global Health Supply Chain Suite of Programs (NextGen). The contractor will identify strategic supply chain risks and recommend mitigation measures  to improve supply chain integrity and security. The awardee must coordinate with other NextGen awardees. Visit Next Generation Global Health Supply Chain  - https://www.usaid.gov/work-usaid/find-a-funding-opportunity/next-generation-global-health-supply-chain - for additional information.,,$25M - $49.99M,,TBD,1/18/2023,TBD,TBD
48,USAID,Office of the Assistant Administrator (GH/AA),Washington,NextGen Technical Assistance Marketplace for Health Supply Chain and Pharmaceutical ( TA Marketplace),"The Technical Assistance Marketplace for Health Supply Chain and Pharmaceutical Management (TA Marketplace) contract will be part of the Next Generation Global Health Supply Chain Suite of Programs (NextGen). Technical assistance services provided through this contract may support public or private sector institutions, and may include any technical assistance services that: strengthen national supply chain systems for better performance and sustainability; provide operational and technical support to increase access to health commodities; and/or improve pharmaceutical management systems, including pharmaceutical services, to ensure health impact is achieved. The prime contractor will be responsible to create, engage, manage and support a network of specialist providers (i.e., the “Marketplace”) who will provide the supply chain and pharmaceutical management technical assistance. The specialist TA network may include profit or non-profit firms, non-governmental organizations, academic institutions, and others, and will enable USAID to access, on demand, the specialized and niche technical experience it needs to improve health supply chain and pharmaceutical management. The prime contractor will be responsible to subcontract work requested by USAID to the most appropriate specialist organization, to provide quality oversight of subcontractors and work performed as part of the contract, and to build the capacity of small, new or local partners in the network who are less familiar with USAID or do not have systems in place for direct USAID agreement.
",541614.0,$300M - $499.99M,,TBD,12/31/2022,TBD,TBD
49,USAID,Office of Acquisition and Assistance (M/OAA),Washington,CPA Audits of for-profit IPs,"USAID seeks a firm to assist with its backlog of incurred cost audit reports. The firm must conduct incurred cost audits accounting system audits, and disclosure statements adequacy and compliance reviews to help eliminate the backlog of audits and remain current with required audits. The audits are required assist in the negotiation of indirect rates, closeout of USAID awards, and provide M/OAA with prospective recipient responsibility determinations. In addition the audit firm(s) will be assigned, to perform annual fiscal year and contract specific incurred cost audits, accounting system audits, and
disclosure statement adequacy and compliance reviews, as stated above.",,$1M - $3.99M,,TBD,9/01/2022,TBD,TBD
50,USAID,Office of Acquisition and Assistance (M/OAA),Washington,M/OAA Foreign Operations CO Firehouse,"We hope to hire five new intermittent U.S. Personal Services Contractor (USPSC) Contracting/Agreement Officers for Fiscal Year 2022.
",,$1M - $3.99M,Multiple,,3/31/2022,,All
51,USAID,"Office of Management Policy, Budget, and Performance (M/MPBP)",Washington,Management and Agency Priorities,"The purpose of Operations Performance for Management and Agency Priorities (MAP) is to strengthen USAID’s operations performance through four main areas:  analytical support, conducting equity assessments, technical assistance and training, and communications and change management.",541611.0,$10M - $24.99M,"DT Global, Resonance, Navanti",Total set-aside,4/15/2022,MAS SIN 541611,TBD
52,USAID,Office of the Chief Information Officer (M/CIO),Washington,Cyber Security & IA Program Support - Competitive ,Cyber Security & IA Program Support - Competitive ,541519.0,$300M - $499.99M,Eagle Harbor Solutions,,12/16/2021,TBD,TBD
53,USAID,Office of the Chief Information Officer (M/CIO),Washington,Enterprise Data Center (EDC),EDC is critical to business operations of USAID and is the Data Center used Agency wide and sustains key business functions. A gap in service would cause work stoppage across the Agency.,,$50M - $99.99M,CGI Federal ,,3/31/2021,TBD,TBD
